subject,session,accuracy_method2,accuracy_method3,kappa_method2,kappa_method3
106,1,0.510989010989011,0.34065934065934067,0.3519244618708489,0.12535042050460565
106,2,0.5248618784530387,0.6022099447513812,0.32245146687559856,0.43079274950862634
107,1,0.5054945054945055,0.46703296703296704,0.4100911153527569,0.334765242294069
107,2,0.35555555555555557,0.15555555555555556,0.2394827900200327,0.013378529443583087
114,1,0.37222222222222223,0.35555555555555557,0.110586383313656,0.028837209302325695
114,2,0.46111111111111114,0.6,-0.11765458968121867,0.01736295397679888
118,1,0.7277777777777777,0.6055555555555555,0.6420745069393718,0.4767656090071648
118,2,0.46111111111111114,0.5333333333333333,0.17188389299943085,0.28205128205128205
123,1,0.5769230769230769,0.6098901098901099,0.4483763038771895,0.4876491812378573
123,2,0.1,0.40555555555555556,0.007656967840735107,0.22526146419951731
205,1,0.35359116022099446,0.35911602209944754,0.05069930069930062,0.016166065320275536
205,2,0.34806629834254144,0.6408839779005525,-0.27108254478366955,-0.0006804456919280444
206,1,0.5174418604651163,0.20930232558139536,0.3546695597143116,0.028773095287523254
206,2,0.5918367346938775,0.18877551020408162,0.40756413647183276,0.004026845637584042
208,1,0.6,0.2833333333333333,0.43635019353716353,0.16561859930288547
208,2,0.4388888888888889,0.05555555555555555,0.15102269543289437,-0.030511214386744756
220,1,0.25,0.125,0.006896551724137945,-0.05660377358490565
220,2,0.5833333333333334,0.45,0.4304518415390457,0.31316245904798623
224,1,0.2,0.2,-0.11801242236024834,0.0
224,2,0.3333333333333333,0.24444444444444444,0.18726718591263125,0.09814323607427045
